Park ID,Park Name,Location Description,District,Classification Type,Neighbourhood,Electoral Ward,Total Area in Hectares,Water Area in Hectares
1,Champlain C.C,282 Niverville Ave,East,Community,NORWOOD EAST,St. Boniface,1.534225,0
10,North Kildonan Parkway,1804 & 1820 Henderson Hwy,East,Linkage,VALHALLA,North Kildonan,4.288958,0.124168
1003,Rampart Bay Park,19 Rampart By,South,Neighbourhood,MAYBANK,River Heights - Fort Garry,0.115751,0
1004,Beaumont Bay Park,21 Beaumont By,South,Neighbourhood,MAYBANK,River Heights - Fort Garry,0.115862,0
1005,Beaumont Park,30 Neptune By,South,Neighbourhood,BEAUMONT,River Heights - Fort Garry,1.809791,0
1006,Kennedy Street End,Between 440 & 446 Assiniboine Ave,North Downtown,Linkage,BROADWAY-ASSINIBOINE,Fort Rouge - East Fort Garry,0.039911,0
1007,Parker-Somerville Buffer,Between 1455 Sommerville Ave & 1462 Mars Dr,South,Buffer,BEAUMONT,River Heights - Fort Garry,0.570543,0
1008,Byng Island Buffer,"Byng Pl, E of Rockman St",South,Buffer,BEAUMONT,River Heights - Fort Garry,0.099558,0
798,Lavalee Park,E of 52 Lavalee Rd,East,Neighbourhood,LAVALEE,St. Vital,1.113688,0
799,Harmony Seiferts Buffer,"S side Bishop Grandin Blvd, N of Harmony  Cv & Siferts Cv",East,Buffer,MEADOWOOD,St. Vital,0.044541,0
1011,Crescent Drive Park,781 Crescent Dr,South,Regional,CRESCENT PARK,Fort Rouge - East Fort Garry,25.628136,0.29682
1012,Dove Bay Park,845 Crescent Dr,South,Nature,CRESCENT PARK,Fort Rouge - East Fort Garry,0.393099,0
1013,Kebir Place Playground,3 McDougall St,South,Neighbourhood,CRESCENT PARK,Fort Rouge - East Fort Garry,0.986844,0
1014,Fletcher Arms Park,89 Fletcher Cres,South,Neighbourhood,CRESCENT PARK,Fort Rouge - East Fort Garry,0.188788,0
1015,Garry Manor Buffer,Behind 71 Bathgate By,South,Neighbourhood,CRESCENT PARK,Fort Rouge - East Fort Garry,0.046941,0
1016,Sandra Crowson Park,Between Dowker Ave & Crane Ave,South,Nature,CRESCENT PARK,Fort Rouge - East Fort Garry,3.539378,0
102,Lismore Park,1815 Lismore Ave,North,Neighbourhood,BROOKLANDS,Point Douglas,0.467901,0
1020,Manchester Park West,W side Point Rd between Manchester Blvd N & Manchester Blvd S,South,Nature,CRESCENT PARK,Fort Rouge - East Fort Garry,0.647937,0
